sample_size,scale,original_n,source,name,value,power,scale2,sd_item,new_sample
45,1,30,High Variance,Decile 50,0.8,80,Small Scale,0.959147328717719,41.9617632338019
60,2,30,High Variance,Decile 50,0.8,80,Medium Scale,13.3386983938319,55.9490176450692
50,3,30,High Variance,Decile 50,0.833333333333333,80,Large Scale,161.613160346834,46.624181370891
40,1,30,Low Variance,Decile 50,0.866666666666667,80,Small Scale,0.365907561055948,37.2993450967128
50,2,30,Low Variance,Decile 50,0.866666666666667,80,Medium Scale,5.36156474401855,46.624181370891
45,3,30,Low Variance,Decile 50,0.833333333333333,80,Large Scale,73.3738205004333,41.9617632338019
40,1,30,Medium Variance,Decile 50,0.833333333333333,80,Small Scale,0.451439712223587,37.2993450967128
50,2,30,Medium Variance,Decile 50,0.833333333333333,80,Medium Scale,10.3773056176175,46.624181370891
40,3,30,Medium Variance,Decile 50,0.833333333333333,80,Large Scale,122.691490779093,37.2993450967128
45,1,30,High Variance,Decile 60,0.8,80,Small Scale,0.959147328717719,41.9617632338019
60,2,30,High Variance,Decile 60,0.866666666666667,80,Medium Scale,13.3386983938319,55.9490176450692
40,3,30,High Variance,Decile 60,0.8,80,Large Scale,161.613160346834,37.2993450967128
35,1,30,Low Variance,Decile 60,0.8,80,Small Scale,0.365907561055948,32.6369269596237
45,2,30,Low Variance,Decile 60,0.833333333333333,80,Medium Scale,5.36156474401855,41.9617632338019
40,3,30,Low Variance,Decile 60,0.9,80,Large Scale,73.3738205004333,37.2993450967128
40,1,30,Medium Variance,Decile 60,0.866666666666667,80,Small Scale,0.451439712223587,37.2993450967128
50,2,30,Medium Variance,Decile 60,0.866666666666667,80,Medium Scale,10.3773056176175,46.624181370891
40,3,30,Medium Variance,Decile 60,0.9,80,Large Scale,122.691490779093,37.2993450967128
35,1,30,High Variance,Decile 70,0.8,80,Small Scale,0.959147328717719,32.6369269596237
35,2,30,High Variance,Decile 70,0.8,80,Medium Scale,13.3386983938319,32.6369269596237
25,3,30,High Variance,Decile 70,0.8,80,Large Scale,161.613160346834,23.3120906854455
35,1,30,Low Variance,Decile 70,0.833333333333333,80,Small Scale,0.365907561055948,32.6369269596237
35,2,30,Low Variance,Decile 70,0.8,80,Medium Scale,5.36156474401855,32.6369269596237
30,3,30,Low Variance,Decile 70,0.833333333333333,80,Large Scale,73.3738205004333,27.9745088225346
35,1,30,Medium Variance,Decile 70,0.866666666666667,80,Small Scale,0.451439712223587,32.6369269596237
40,2,30,Medium Variance,Decile 70,0.8,80,Medium Scale,10.3773056176175,37.2993450967128
40,3,30,Medium Variance,Decile 70,0.933333333333333,80,Large Scale,122.691490779093,37.2993450967128
30,1,30,High Variance,Decile 80,0.8,80,Small Scale,0.959147328717719,27.9745088225346
35,2,30,High Variance,Decile 80,0.9,80,Medium Scale,13.3386983938319,32.6369269596237
25,3,30,High Variance,Decile 80,0.8,80,Large Scale,161.613160346834,23.3120906854455
