"RT" "zRT" "Pp" "Type" "Prime" "Target" "accTarget" "accPrime"
0.533645034 -0.322375897609755 6 "U" "lepra" "zijde" 1 1
0.533268332 -0.323249211326364 6 "U" "ijzel" "tante" 1 1
0.70660001 0.0785881346932078 6 "U" "okapi" "wapen" 1 0
0.90659517 0.542239818208091 6 "U" "nummer" "scherp" 1 1
0.61352253 -0.137194738748944 6 "U" "vallei" "bizar" 1 0
0.573274493 -0.230502347359169 6 "U" "matrak" "sappig" 1 1
0.586606085 -0.199595524040377 6 "U" "venkel" "kerk" 1 1
0.466607809 -0.477789269760441 6 "U" "sauna" "lelijk" 1 1
0.466984212 -0.476916649219874 6 "U" "zakmes" "anijs" 1 1
0.49366039 -0.415072878403406 6 "U" "klank" "ziekte" 1 1
0.693339884 0.0478469920399584 6 "U" "tenger" "bestek" 1 1
0.439954758 -0.539579424916986 6 "U" "cadeau" "warm" 1 1
0.733273923 0.140426654527286 6 "U" "sofa" "bergen" 1 1
1.426586628 1.74774356597408 6 "U" "ananas" "brand" 1 1
0.507034838 -0.384066701397511 6 "U" "intens" "wortel" 1 1
0.586861193 -0.199004103459608 6 "U" "balkon" "zebra" 1 1
0.533529818 -0.322643004535582 6 "R" "boete" "straf" 1 1
0.653260767 -0.0450690068814154 6 "R" "nerts" "pels" 0 0
0.440183103 -0.539050049387737 6 "R" "gezag" "macht" 1 1
0.479934812 -0.446893085186985 6 "R" "appel" "gezond" 1 1
0.586877346 -0.198966655725154 6 "R" "kever" "insect" 1 1
